,,ESTOQUE ,,,,,,,,,,,,,,,,,
TR026746,17.230 OD,SEM COR,14/10/25,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 704300 - ERECHIM - RS 20/10/25,
VR006549,26.260,VERMELHO NOBRE,10/03/26,GODLMAN,IMPLEMENTADOR,,,,,,,,,,,,,NF. 719473 - GOLDMAN / 08/05,
VR007011,26.320,BRONZE NAMIBIA,12/03/26,GOLDMAN,IMPLEMENTADOR,,,,,,,,,,,,,NF. 719596 - SOLIVAC,
VR006643,26.320,AZUL UNIQUE ,12/03/26,GOLDMAN,IMPLEMENTADOR,,,,,,,,,,,,,NF. 719651 - SOLIVAC,
VR010788,11180 OD,SEM COR,02/04/06,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 722750 - MARCOPOLO - 30/04/2026,
VR011444,17.230,SEM COR,28/04/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 725198 - VIAGEM 64180 - 14/05 - ,
VR013922,31.320,CINZA,29/04/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 725540 - SÃO CARLOS - SP,
VR010358,11.180 OD,SEM COR,30/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 721562 - 63999 - 01/05 - CASCAVEL MARCOPOLO,
VR010354,11.180 OD,SEM COR,30/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 721561 - 64004 - 02/05 - MARCOPOLO ,
VR008417,11.180 OD,SEM COR,17/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 719940 - CAXIAS DO SUL - RS - 26/03,
VR008421,11.180 OD,SEM COR,17/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 719941 - CAXIAS DO SUL - RS - 26/03,
VR008769,11.180 OD,SEM COR,18/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720238 - CAXIAS DO SUL - RS - 26/03,
VR008801,11.180,SEM COR,18/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720237 - CAXIAS DO SUL - RS - 26/03,
VR008755,11.180,SEM COR,18/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720240 - CASCAVEL - PR - 26/03,
VR008798,11.180,SEM COR,18/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720241 - CASCAVEL - PR - 26/03,
VR008734,11.180,SEM COR,18/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720236 - CAXIAS DO SUL - RS - 26/03,
VR004718,17.230,SEM COR,23/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720577 - ERECHIM - RS - 01/04,
VR004000,17.230,SEM COR,23/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720568 - ERECHIM - RS - 01/04,
VR004540,17.230,SEM COR,23/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720567 - ERECHIM - RS - 01/04,
VR004545,17.230,SEM COR,23/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720569 - ERECHIM - RS - 01/04,
VR010356,11.180,SEM COR,30/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 721560 - 63940 - ERECHIM RS - 24/04,
VR008677,26.260,BRANCO,27/03/26,ESTOQUE BELCAR ,IMPLEMENTADOR,,,,,,,,,,,,,63808 - SÃO JOSE DO RIO PRETO - 02/04/26,
VR008756,26.260,BRANCO,30/03/26,ESTOQUE BELCAR ,IMPLEMENTADOR,,,,,,,,,,,,,63820 - SÃO JOSE DO RIO PRETO - 05/04/26,
VR008761,26.260,BRANCO,30/03/26,ESTOQUE BELCAR ,IMPLEMENTADOR,,,,,,,,,,,,,63820 - SÃO JOSE DO RIO PRETO - 05/04/26,
VR003662,17.230 OD,SEM COR,27/02/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 718068 - SERVICARGA - SBC - 09/03/26,
VR003665,17.230 OD,SEM COR,27/02/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 718064 - SERVICARGA - SBC - 09/03/26,
VR003959,17.230 OD,SEM COR,27/02/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 718067 - SERVICARGA - SBC - 09/03/26,
VR003659,17.230 OD,SEM COR,27/02/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 718066 - SERVICARGA - SBC - 09/03/26,
VR003702,17.230 OD,SEM COR,27/02/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 718065 - SERVICARGA - SBC - 09/03/26,
VR003923,17.230 OD,SEM COR,27/02/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 718063 - SERVICARGA - SBC - 09/03/26,
VR005275,26.260,BRANCO,15/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,TRUCKVAN GUARULHOS - 09/03/26,
VR004485,26.260,BRANCO,15/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,TRUCKVAN GUARULHOS - 09/03/26,
VR002754,17.230 OD,SEM COR,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,SERVICARGA - SÃO BERNARDO VIAGEM 63505 - 23/02/26,
VR002295,17.230 OD,SEM COR,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,SERVICARGA - SÃO BERNARDO VIAGEM 63505 - 23/02/26,
VR001925,17.230 OD,SEM COR,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,SERVICARGA - SÃO BERNARDO VIAGEM 63505 - 23/02/26,
TR027739,30.320,VERMELHO,,ROBOCONTROL,IMPLEMENTADOR,,,,,,,,,,,,,ROBOCONTROL - 28/01/2026 VENDEDOR PAULO,
VR001503,26.260,BRANCO GEADA,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 714428 - FACCHINI SÃO JOSE DO RIO PRETO,
TR024777,17.230 OD,SEM COR,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 704069 - SERVICARGA - SÃO BERNARDO DO CAMPO,
TR019291,31.320,BRANCO GEADA,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,GRIMALDI IND - SANTO ANTONIO DE POSSE/SP - 28/07 - prancha GABARDO,
VR000756,17.210,BRANCO,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,EMAQ IND - APARECIDA DE GOIANIA GP - PRANCHA GABARDO,
TR007874,11.180,BRANCO GEADA,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,BMB - JULIANA E-MAIL 26/06/2025,
TR018840,26.320,PRATA,,ROBOCONTROL,IMPLEMENTADOR,,,,,,,,,,,,,,
VR010791,11.180 OD,,02/04/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,COMIL - MARCOPOLLO CAIAS DO SUL RS - 23/04/26,
VR010652,11.180 OD,,02/04/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,COMIL - MASCARELLO CASCAVEL PR - 22/04/26,
VR010785,11.180 OD,,02/04/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,COMIL - MARCOPOLLO CAIAS DO SUL RS - 23/04/26,
VR010358,11.180 OD,,02/04/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,COMIL - MARCOPOLLO CAIAS DO SUL RS - 23/04/26,
VR010779,11.180 OD,,02/04/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,COMIL - MARCOPOLLO CAIAS DO SUL RS - 23/04/26,
VR010664,11.180 OD,,02/04/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,COMIL - MASCARELLO CASCAVEL PR - 22/04/26,
VR203586,29.530,VERDE ECOVIAS,12/05/26,ESTOQUE BELCAR,ITUMBIARA,,,,,,,,,,,,,NF. 726826 - VIAGEM - 641201 - 16/05/2026,
VR013054,30.320,AZUL UNIQUE,12/05/26,ESTOQUE BELCAR,ITUMBIARA,,,,,,,,,,,,,NF. 726844 - VIAGEM - 641201 - 16/05/2026,
VR009905,25.480,VERMELHO RUBI,08/04/06,ESTOQUE BELCAR,ITUMBIARA,,,,,,,,,,,,,NF. 723097 - 17/04/2026 - PRANCHA,
VR203040,29.530,AZUL,20/04/26,ESTOQUE BELCAR,ITUMBIARA,,,,,,,,,,,,,PRANCHA GABARDO 20/04,
VR004040,11.180,AZUL PARAGAS,,ESTOQUE BELCAR,ITUMBIARA,,,,,,,,,,,,,NF. 716015 - PRANCHA - 18/02/2026 - EMAIL FABIANO,
VR002511,11.180,VERDE ECOVIAS,,ESTOQUE BELCAR,ITUMBIARA,,,,,,,,,,,,,NF. 715492 - VIAGEM - 63368 - ANS - 07/02,
VR005666,25.480,AZUL NOTURNO,26/02/26,ESTOQUE BELCAR,ITUMBIARA,,,,,,,,,,,,,NF. 717672 - VIAGEM 63680 GO 17/03/26,
TR200278,28.480,VERMELHO DAYTONA,,ESTOQUE BELCAR,ITUMBIARA,,,,,,,,,,,,,NF. 710432 - VIAGEM - 62971 - GO - 08/12,
TR202044,28.480,VERMELHO,,ESTOQUE BELCAR,ITUMBIARA,,,,,,,,,,,,,FROTA 2070 - ITUMBIARA - GOIANIA 01/09,
TR025827,30.320,PRETO UNIVERSAL,,GOLDMAN,ITUMBIARA,,,,,,,,,,,,,PRANCHA GABARDO - 03/10,
TR018377,31.320,BRANCO,,ESTOQUE BELCAR,ITUMBIARA,,,,,,,,,,,,,FROTA 2023 - 05/07 - ANS,
VR009905,25.480,VERMELHO,17/04/26,ESTOQUE BELCAR,ITUMBIARA,,,,,,,,,,,,,PRANCHA GABARDO - 17/04/26,
VR007805,26.260,BRANCO GEADA,31/03/26,ESTOQUE - RESERVA BONO,JRV,,,,,,,,,,,,,NF. 722343 - VIAGEM - 64198 - 15/05/2026,
VR012706,17.210,BRANCO GEADA,30/04/26,ESTOQUE BELCAR,JRV,,,,,,,,,,,,,NF. 726299 - 11/05/2026,
VR013126,17.210,BRANCO GEADA,30/04/26,ESTOQUE BELCAR,JRV,,,,,,,,,,,,,NF. 726203 - 11/05/2026,
VR002091,31.320,BRANCO,,ESTOQUE BELCAR,JRV,,,,,,,,,,,,,JRV - VIAGEM 63470 - GO - 22/02,
VR001950,27.320,BRANCO,,ESTOQUE BELCAR,JRV,,,,,,,,,,,,,JRV - VIAGEM 63470 - GO - 22/02,
TR033018,11.180,BRANCO GEADA,,GUSTAVO - ELIAS,JRV,,,,,,,,,,,,,JRV - VIAGEM - 63139 - GO - 11/01,
TR035363,11.180,BRANCO GEADA,,GUSTAVO - ELIAS,JRV,,,,,,,,,,,,,JRV - VIAGEM - 63139 - GO - 11/01,
TR035287,11.180,BRANCO GEADA,,GUSTAVO - ELIAS,JRV,,,,,,,,,,,,,JRV - VIAGEM - 63139 - GO - 11/01,
TR035382,31.320,BRANCO GEADA,,GUSTAVO - ELIAS,JRV,,,,,,,,,,,,,JRV - VIAGEM - 61369 - ANS - 13/01,
TR033307,26.260,BRANCO GEADA,,GUSTAVO - ELIAS,JRV,,,,,,,,,,,,,JRV - VIAGEM - 61363 - GO - 12/01,
TR013376,26.260,BRANCO GEADA,,GUSTAVO - ELIAS,JRV,,,,,,,,,,,,,JRV - VIAGEM - 61362 - GO - 12/01,
VR000339,31.320,BRANCO,,ESTOQUE BELCAR,JRV,,,,,,,,,,,,,JRV - PRANCHA GABARDO 03/02/2026,
TR033264,26.260,BRANCO GEADA,,GUSTAVO - ELIAS - COLETOR DE LIXO JRV,JRV,,,,,,,,,,,,,JRV - KEILA LEVOU,
TR027079,33.260,BRANCO,,PREFEITURA DE ITAPURANGA,JRV,,,,,,,,,,,,,JRV - GUSTAVO PEDIU 12/02/2026,
VR000447,9.180,BRANCO,,ESTOQUE BELCAR - 19/01/2026,JRV,,,,,,,,,,,,,JRV - 19/02/2026,
TR019173,9.180,BRANCO,,ESTOQUE BELCAR - SIDER JRV,JRV,,,,,,,,372321,,,,,JRV - 18/10/2025 - GUSTAVO PEDIU,
SR037138,11.180,BRANCO GEADA,,RAFAEL,JRV,,,,,,,,,,,,,JRV - 15/07/2025,
SR017606,11.180,VERMELHO RUBI,,ESTOQUE BELCAR - PIPA 7.000,JRV,,,,,,,,,,,,,JRV - 13/01/2026 - GUSTAVO - COLOCAR PIPA,
VR000356,14.210,BRANCO,19/01/26,ESTOQUE BELCAR - JRV CAÇAMBA 6m colocar,JRV,,,,,,,,,,,,,JRV - 06/03/2026 GUSTAVO PEDIU,
SR041799,14.210,BRANCO,,ESTOQUE - CHICOTE CORTADO JRV,JRV,,,,,,,,,,,,,JRV,
TR001595,11.180,BRANCO GEADA,,ESTOQUE BELCAR,JRV,,,,,,,,,,,,,JRV,
SR203214,29.530,BRANCO GEADA,,ESTOQUE BELCAR / CCL / TESTE DRIV,JRV,,,,,,,,353172,,,,,JRV,
SR029454,17.210,BRANCO GEADA,,JRV,JRV,,,,,,,,353918,,,,,JRV,
SR034044,26.260,BRANCO GEADA,,JRV IND E COM DE PECAS LTDA,JRV,,,,,,,,355109,,,,,JRV,
SR006010,9.180,AZUL BISCAY,,ESTOQUE BELCAR - V-TRONIC,JRV,,,,,,,,351364,,,,,JRV,
VR002110,31.320,BRANCO,,ESTOQUE BELCAR,JRV,,,,,,,,,,,,,JRV - PARAMETRIZANDO OFICINA TAINA,
VR001822,31.320,BRANCO,,ESTOQUE BELCAR,JRV,,,,,,,,,,,,,JRV - PARAMETRIZANDO OFICINA TAINA,
TR026601,26.320,BRANCO,,ESTOQUE BELCAR - PRANCHA JRV,JRV,,,,,,,,,,,,,PARAMETRIZAR E GEOMETRIA - JRV - TAINA,
TR014589,18.260,BRANCO,30/06/25,ESTOQUE BELCAR - PRANCHA JRV,JRV,,,,,,,,,,,,,,
VR000415,17.210,BRANCO GEADA,15/01/26,ESTOQUE BELCAR,JRV,,,,,,,,,,,,,COLOCAR BAU JRV - 01/06/2026,
VR001352,27.320,BRANCO,,ESTOQUE BELCAR,PATIO 1,,,,,,,,,,,,,JRV - PRANCHA GABARDO 03/02/2026,
VR010139,14.210,AZUL SAFIRA,22/04/26,ESTOQUE BELCAR,PATIO 1,,,,,,,,,,,,,,
VR006377,14.180,BRANCO GEADA,12/03/26,"ESTOQUE BELCAR - BAU FACCHINI 6,20",PATIO 1,,,,,,,,,,,,,Chicote do chassi e do painel - RICARDO OFICINA,
TR027903,9.180,BRANCO,,ESTOQUE BELCAR - NÃO LEVAR ANS,PATIO 1,,,,,,,,,,,,,retirado a BSG para atender um veículo novo que estava no P2 - RICARDO OFICINA GRUPO,
VR003480,14.180,BRANCO GEADA,,ESTOQUE BELCAR - 04/12/25,PATIO 1,,,,,,,,,,,,,OFICINA - 23B971011GH - CHICOTE ELÉTRICO para colocar no BBT - SUPORTE DA PLACA COLOCAR NO REDE PET RANCOU RODAS (23M945509 e 23M945403) - chicotes e BSG para atender o 1º caminhão da BBT e tiramos o sensor de neutro para atender o caminhão da JMA (Está sem o sensor da marcha que foi usado para atender um ônibus da MOBI),
TR202226,28.480,BRANCO GEADA,LAVADO,ESTOQUE BELCAR,PATIO 1,,,,,,,,,,,,,TIROU PEÇAS (2V1837400A E MAQUINA VIDRO LD PASSAGEIRO) - PRONTO ADESIVOS,
TR003562,9.180,LARANJA NEPAL,,ESTOQUE BELCAR - V-TRONIC,PATIO 2,,,,,,,,374047,,,,,"R$ 390.000,00 - AVARIADO PORTA",
TR004596,18.230,BRANCO,28/04/25,"RESERVA PREFEITURA DE BOM JESUS  - BAÚ FACCHINI 6,80",PATIO 2,,,,,,,,,,,,,VAI SER RETIRADO ESSE BAÚ PARA COLOCAR NO CHASSI: VR010139,
TR031200,9.180 OD,CINZA,,ESTOQUE BELCAR - HIGHLINE,SHOWROOM,,,,,,,,,,,,,"R$ 675.000,00",
VR016077,27.320,AZUL UNIQUE ,20/05/26,ESTOQUE BELCAR,SHOWROOM,,,,,,,,,,,,,NF. 727949,
TR202035,28.480,ROSA,LAVADO,ESTOQUE BELCAR - HIGHLINE - SHOWROOM,SHOWROOM,,,,,,,,377016,,,,,"R$ 765.000,00 + R$ 15.000,00 HD",
TR202266,28.480,BRANCO GEADA,01/12/25,ETSOQUE BELCAR - 01/12/25,SHOWROOM,,,,,,,,,,,,,PARA ADESIVAR BRASIL - PRONTO,
TR202149,28.480,BRANCO GEADA,04/12/25,ESTOQUE BELCAR - ,SHOWROOM,,,,,,,,381604,,,,,PARA ADESIVAR BRASIL - PRONTO,
TR011852,17.230 OD,BRANCO,LAVADO,"ESTOQUE BELCAR - MARCOPOLO R$ 510.000,00",SHOWROOM,,,,,,,,369635,,,,,"R$ 437.629,96 CHASSI",
SR032830,15.210 OD,CINZA,LAVADO,ESTOQUE BELCAR - MASCARELLO URBANO 44 LUGARES,SHOWROOM,,,,,,,,369158,,,,,"R$ 650.000,00",
TR016932,31.320,BRANCO GEADA,LAVADO,"ESTOQUE BELCAR - ROLL ON GRIMALDI R$ 115.000,00 -  CAÇAMBA 26m³ AGRÍCOLA R$ 35.000,00 + R$ 725.000,00",SHOWROOM,,,,,,,,371794,,,,,"R$ 675.000,00 + R$ 150.000,00",
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SUBSTITUIÇÃO DE BAÚS,,,,,,,,,,,,,,,,,,,
VR000392,ESTOQUE BELCAR,,COLOCAR BAU RETIRADO TR021983,,PRONTO,,,,,,,,14.210,,,,,,
TR021983,ESTOQUE BELCAR,,TIRAR BAU COLOCAR VR000392,,PRONTO,,,,,,,,18.210,,,,,,
,,,,,,,,,,,,,,,,,,,
TR025449,ESTOQUE BELCAR,,COLOCAR BAU RETIRADO DO TR023001,,PRONTO,,,,,,,,30.320,,,,,,
TR034761,ESTOQUE BELCAR - SEM BAÚ,,TIRAR BAU COLOCAR TR025449,,PRONTO,,,,,,,,30.320,,,,,,
,,,,,,,,,,,,,,,,,,,
TR004596,"ESTOQUE BELCAR - BAÚ FACCHINI 6,80",,RETIRAR BAÚ - COLOCAR NO CHASSI: VR010139,,,,,,,,,,18.230,,,,,,
VR010139,ESTOQUE BELCAR,,COLOCAR BAÚ - RETIRADO DO CHASSI: TR004596,,,,,,,,,,14.180,,,,,,