,,ESTOQUE ,,,,,,,,,,,,,,,,,,,,
TR031652,26.320,,30/12/25,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,18/03/2026,1029917,PAULO,,,375556,NÃO TEM,,,,,ROBOCONTROL - 11/03/2026,
VR003946,30.320,,27/02/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,SOLIVAC - 08/05/26,,17/06/2026,1045484,PAULO,,,,NÃO TEM,,,,,SOLIVAC - SP - 18/05/26 prancha,
VR004953,30.320,,28/02/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,,,18/03/2026,1029908,PAULO,,,,NÃO TEM,,,,,GOLDMAN - 18/03/2026,
VR001042,26.320,,28/02/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,,,18/03/2026,1029925,PAULO,,,,NÃO TEM,,,,,ROBOCONTROL - 11/03/2026,
VR003040,26.260,,28/2/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,GOLDMAN - 14/05/26,,17/06/2026,1045425,PAULO,,,381856,NÃO TEM,,,,,,
VR006549,26.260,VERMELHO NOBRE,10/03/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,GOLDMAN - 08/05/26,,17/06/2026,1045460,PAULO,,,381216,NÃO TEM,,,,,GOLDMAN - 08/05/2026,
VR009923,9.180,,02/04/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,,,23/04/2026,1035983,PAULO,,,,NÃO TEM,,,,,JRV,
VR203571,28.480,,28/05/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,GOLDMAN - 10/06/26,,17/06/2026,1045473,PAULO,PAGO,,382834,NÃO TEM,,,,,,
VR007011,26.320,,34/04/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,SOLIVAC - 08/05/26,,17/06/2026,1045480,PAULO,,,,NÃO TEM,,,,,SOLIVAC - SP - 08/05/26 prancha,
VR006643,26.320,,34/04/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,SOLIVAC - 08/05/26,,17/06/2026,1045465,PAULO,,,,NÃO TEM,,,,,SOLIVAC - SP - 08/05/26 prancha,
VR011828,26.320,,34/04/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,SOLIVAC - 08/05/26,,17/06/2026,1045447,PAULO,,,,NÃO TEM,,,,,SOLIVAC - SP - 18/05/26 prancha,
VR012408,26.320,,34/04/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,GOLDMAN - 05/06/26,,17/06/2026,1045471,PAULO,PAGO,,382201,NÃO TEM,,,,,GOLDMAN - 05/06/2026,
TR200478,28.480,,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,JRV,,,,15/05/2026,1039583,PAULO,PAGO,,,TEM,,Circular AT 049-25 - Ação de Oficina – Verificação dos tubos de alimentação de combustível - 1 Item(s),,,,
VR016071,27.320,AZUL UNIQUE ,20/05/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA - SEM MOLDURA VIDRO ELETRICO,FATURADO,PATIO 1,,SEM PEÇAS,,30/06/2026,1047617,PAULO,NÃO,NÃO,383770,NÃO TEM,,,,,NF. 727950,
TR033307,26.260,BRANCO GEADA,19/12/25,GUSTAVO - ELIAS,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,TEM,,,,,JRV - VIAGEM - 61363 - GO - 12/01,
TR013376,26.260,BRANCO GEADA,19/12/25,GUSTAVO - ELIAS,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - VIAGEM - 61362 - GO - 12/01,
TR033018,11.180,BRANCO GEADA,23/12/25,GUSTAVO - ELIAS,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - VIAGEM - 63139 - GO - 11/01,
TR035287,11.180,BRANCO GEADA,23/12/25,GUSTAVO - ELIAS,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - VIAGEM - 63139 - GO - 11/01,
TR035382,31.320,BRANCO GEADA,23/12/25,GUSTAVO - ELIAS,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - VIAGEM - 61369 - ANS - 13/01,
TR033264,26.260,BRANCO GEADA,19/12/25,GUSTAVO - ELIAS - COLETOR DE LIXO JRV,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - KEILA LEVOU,
VR014840,26.260,BRANCO GEADA,SEMI NOVO,IBIZA CONSTRUTORA LTDA,FATURADO,PATIO 1,JRV,01/06/2026,05/06/2026,26/06/2026,1047143,GUSTAVO,PAGO,NÃO,383773,NÃO TEM,,,,,VIAGEM - 64403 - 06/06/2026,
VR005154,17.210,BRANCO GEADA,25/02/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717179,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 13/03,
VR005131,17.210,BRANCO GEADA,25/02/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717194,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 12/03,
VR004920,17.210,BRANCO GEADA,25/02/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717195,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 12/03,
VR005266,17.210,BRANCO GEADA,25/02/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717196,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 13/03,
VR005263,17.210,BRANCO GEADA,25/02/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717242,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 13/03,
VR003155,17.210,BRANCO GEADA,26/02/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,25/02/2026,717431,ENEIAS,,,,NÃO TEM,,,,,,
VR003049,17.210,BRANCO GEADA,13/03/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717186,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 12/03,
VR003468,17.210,BRANCO GEADA,13/03/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717187,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 12/03,
VR008342,26.260,BRANCO GEADA,19/03/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,17/03/2026,720042,ENEIAS,,,,NÃO TEM,,,,,FACCHINI S/A - VOTUPORANGA-SP - 63869 15/04,
VR009197,26.260,BRANCO GEADA,21/03/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,20/03/2026,720517,ENEIAS,,,,NÃO TEM,,,,,FACCHINI S/A - VOTUPORANGA-SP - 63870 - 15/04,
VR009249,26.260,BRANCO GEADA,24/03/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,23/03/2026,720548,ENEIAS,,,,NÃO TEM,,,,,FACCHINI S/A - VOTUPORANGA-SP - 63870 - 15/04,
VR018884,11.180,MARROM VANILLA,15/06/26,JB INDUSTRIA E COMERCIO DE CARNES LTDA,FATURADO,ANS,,,,29/06/26,1047437,JORGE,NÃO,SIM,,NÃO TEM,"R$ 5.000,00",,,,NF. 731066,
VR006609,11.180,VERMELHO NOBRE,26/03/26,JB INDUSTRIA E COMERCIO DE CARNES LTDA,FATURADO,IMPLEMENTADOR,,THERMO POINT - 17/06,,26/05/2026,1041326,JORGE,PAGO,SIM,383472,NÃO TEM,"R$ 5.000,00","CHINIL, VINIL E MOEDA, MANGUEIRA DE SOPRAR, CALHA DE CHUVA E INSFUILME",,,,
SR029454,17.210,BRANCO GEADA,25/09/24,JRV,ESTOQUE,JRV,REVISÃO 1 ANO,,,,,,,,353918,TEM,,Carta DVM AT 006-26 - Ação de Campo – verificação do roteiro do chicote elétrico do motor D08 - 1 Item(s),,,JRV,
SR034044,26.260,BRANCO GEADA,28/10/24,JRV IND E COM DE PECAS LTDA,ESTOQUE,JRV,REVISÃO 1 ANO,,,,,,,,355109,TEM,,Circular AT 054-25 - Ação de Oficina – Substituição do dreno do filtro de ar - 1 Item(s),,,JRV,
VR001501,17.210,BRANCO GEADA,23/01/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,REVISAO DE 6 MESES,,,22/01/2026,714575,CRISTIANO,,,,NÃO TEM,,,,,FACCHINI SÃO JOSE DO RIO PRETO,
VR000756,17.210,BRANCO GEADA,23/01/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,REVISAO DE 6 MESES,,,22/01/2026,714549,CRISTIANO,,,,NÃO TEM,,,,,EMAQ IND - APARECIDA DE GOIANIA GP ,
VR002430,17.210,BRANCO GEADA,23/02/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,21/02/2026,716877,CRISTIANO,,,,NÃO TEM,,,,,IMAP - SANTO ANTONIO DA POSSE 27/02,
VR003207,17.210,BRANCO GEADA,28/02/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,27/02/2026,718155,CRISTIANO,,,,NÃO TEM,,,,,MAAS SERVIÇOS,
VR003374,17.210,BRANCO GEADA,28/02/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,27/02/2026,718158,CRISTIANO,,,,NÃO TEM,,,,,MAAS SERVIÇOS,
VR008309,26.260,BRANCO GEADA,16/03/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,13/03/2026,719702,CRISTIANO,,,,NÃO TEM,,,,,MAAS SERVIÇOS - 18/03,
VR008339,26.260,BRANCO GEADA,19/03/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,17/03/2026,719992,CRISTIANO,,,,NÃO TEM,,,,,MAAS SERVIÇOS - 19/03,
VR009189,26.260,BRANCO GEADA,21/03/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,20/03/2026,720519,CRISTIANO,,,,NÃO TEM,,,,,63867 - VOTUPORANGA - 11/04,
VR009045,26.260,BRANCO GEADA,23/03/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,20/03/2026,720415,CRISTIANO,,,,NÃO TEM,,,,,FACCHINI - VOTUPORANGA - 08/04,
VR009327,26.260,BRANCO GEADA,24/03/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,23/03/2026,720581,CRISTIANO,,,,NÃO TEM,,,,,FACCHINI - VOTUPORANGA - 08/04,
VR009855,26.260,BRANCO GEADA,27/03/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,26/03/2026,721178,CRISTIANO,,,,NÃO TEM,,,,,FACCHINI VOTUPORANGA - SP - 07/04/2026,
VR009001,26.260,BRANCO GEADA,13/04/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,19/03/2026,720375,CRISTIANO,,,,NÃO TEM,,,,,63808 - SÃO JOSE DO RIO PRETO - 02/04/26,
VR009153,26.260,BRANCO GEADA,23/04/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,20/03/2026,720476,CRISTIANO,,,,NÃO TEM,,,,,FACCHINI - VOTUPORANGA - 08/04,
TR032540,9.180,BEGE AGATA,15/12/25,MAXGAS DISTRIBUIDORA DE GAS LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,FLACH - 19/06 - JORGE PEDIU P/LEVAR,,29/06/26,1047442,JORGE,,SIM,,NÃO TEM,CORTESIA,Tapete Vinil na cor preta / Tapete Moeda / Chinil bancos e painel na cor preta / Mangueira de soprar / Insul Filme / Calha de chuva.,,,NF. 711550 - VIAGEM - 63082 - BSB - 26/12,
TR032529,9.180,AZUL NOTURNO,15/12/25,MINERACAO SUDOESTE E TRANSPORTADORA JUNIOR LTDA,FATURADO,SHOWROOM,REVISAO DE 6 MESES,,,26/06/26,1047256,JORGE,NÃO,SIM,,NÃO TEM,"R$ 5.000,00",,,,"R$ 425.000,00 + R$ 40.000,00 BAU",
SR004248,26.320,BRANCO GEADA,21/02/24,MINERAÇÃO TRANSPORTES,VENDA DIRETA,IMPLEMENTADOR,REVISÃO 1 ANO,,,21/02/2024,636733,LUIZ CLAUDIO,PAGO,,346576,TEM,,,,,IGARAPE MG (RODO BEM IMPL),
SR033861,11.180,BRANCO GEADA,06/11/24,MP TRANSPORTE E LOGISTICA LTDA,FATURADO,IMPLEMENTADOR,REVISÃO 1 ANO,,,13/05/2026,1039300,PAULO,PAGO,,355562,NÃO TEM,,,,,GOIANIRA,
TR035769,17.210,BRANCO GEADA,19/12/25,MP TRANSPORTE E LOGISTICA LTDA,FATURADO,JRV,REVISAO DE 6 MESES,,,13/05/2026,1039298,PAULO,PAGO,,,NÃO TEM,,,,,,
,,,,NUTRIZA - COLOCAR LAMEIRO EM TODOS - JRV,FATURADO,,,,,,,,,,,,,,,,,
TR019173,9.180,AZUL UNIQUE,10/10/25,NWF TRANSPORTES E LOGISTICA LTDA - CHINIL PAINEL ESTOQUE ZERADO,FATURADO,PATIO 1,AGENDADO,,,29/05/2026,1042227,CARLOS,PAGO,OK,383775,NÃO TEM,"R$ 1.500,00","TAPETE VINIL, CHINIL E MANGUEIR DE SOPRAR",,,,
9536B8TD4VR012233,26.260,BRANCO GEADA,14/04/26,POLI-GYN EMBALAGENS LTDA,FATURADO,ANS,,,,26/06/26,1047249,JORGE,NÃO,,,NÃO TEM,,,,,NF. 723559 - VIAGEM - 64440 - 10/06,
TR027903,9.180,BRANCO,29/09/25,POLI-GYN EMBALAGENS LTDA,FATURADO,PATIO 1,REVISAO DE 6 MESES,,,26/06/26,1047247,JORGE,NÃO,NÃO,383777,NÃO TEM,,,,,retirado a BSG para atender um veículo novo que estava no P2 - RICARDO OFICINA GRUPO,
VR006983,30.320,VERMELHO NOBRE,23/03/26,POSTO CHAPARRAL LTDA,FATURADO,PATIO 1,,,,11/06/2026,1044453,LUIZ CLAUDIO,PAGO,AB,383255,TEM,"R$ 3.000,00","8 RODAS ACS910, TAPA ESTRIBO 1 DEGRAU, CLIMATIZADOR, CORTINA E DEFLETOR CEGONHEIRO",,,,
TR027079,33.260,BRANCO GEADA,08/10/25,PREFEITURA DE ITAPURANGA,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - GUSTAVO PEDIU 12/02/2026,
TR004596,18.230,BRANCO GEADA,28/03/25,PREFEITURA MUNICIPAL DE BOM JESUS - PARAMETRIZAR,FATURADO,JRV,REVISÃO 1 ANO,,,26/06/26,1047123,GUSTAVO,NÃO,,,NÃO TEM,,,,,,
SR037138,11.180,BRANCO GEADA,19/09//25,RAFAEL,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - 15/07/2025,
VR000447,9.180,BRANCO GEADA,09/01/25,RAMON GUERRA DE SOUSA LTDA - TIRAR A PRANCHA ,FATURADO,JRV,REVISÃO 1 ANO,,,24/06/26,1046554,EURIPEDES,NÃO,SIM,,NÃO TEM,"R$ 5.000,00",,,,JRV - 19/02/2026,
TR023516,25.480,AMARELO PETROPOLIS,30/09/25,RE TRANSPORTES LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,18/05/2026,1039938,LUIZ CLAUDIO,PAGO,OK,382202,NÃO TEM,"R$ 3.000,00","TAPETES, CHINIL, MANGUEIRA DE SOPRAR E CORTINA",,,ROBERTO LEVOU - 26/05/2026,
VR015462,17.210,BRANCO GEADA,21/05/26,REGRA LOGISTICA EM DISTRIBUICAO LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,20/05/2026,725012,CRISTIANO,PAGO,,,NÃO TEM,,REGRA ,,,,
VR007013,26.260,BRANCO GEADA,06/04/26,RESERVA SABOR ALIMENTOS,ESTOQUE,IMPLEMENTADOR,,FACCHINI - 26/06/26,,,,,,,,NÃO TEM,,,,,NF. 722879 - VIAGEM - 64185 - 15/05/2026,
VR009669,26.260,BRANCO GEADA,07/04/26,RESERVA SABOR ALIMENTOS,ESTOQUE,IMPLEMENTADOR,,FACCHINI - 26/06/26,,,,,,,,NÃO TEM,,,,,NF. 722960 - VIAGEM - 64185 - 15/05/2026,
TR018840,26.320,PRATA PYRIT,14/07/25,ROBOCONTROL,ESTOQUE,IMPLEMENTADOR,REVISÃO 1 ANO,,,,,,,,,NÃO TEM,,,,,,
TR027739,30.320,VERMELHO MARTE,29/10/25,ROBOCONTROL,ESTOQUE,IMPLEMENTADOR,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,ROBOCONTROL - 28/01/2026 VENDEDOR PAULO,
TR032380,17.210,BRANCO GEADA,19/12/25,ROBOCONTROL EQUIPAMENTOS E SERVICOS LTDA,FATURADO,JRV,REVISAO DE 6 MESES,,,11/03/2026,1029810,PAULO,,,,NÃO TEM,,,,,JRV - 12/01/2026,
TR035838,17.210,BRANCO GEADA,19/12/25,ROBOCONTROL EQUIPAMENTOS E SERVICOS LTDA,FATURADO,JRV,REVISAO DE 6 MESES,,,20/03/2026,1030427,PAULO,,,SEMINOVO,NÃO TEM,,,,,,
TR010633,9.180,VERMELHO MARTE,08/05/25,RTL ENCOMENDAS E CARGAS LTDA,FATURADO,ANS,REVISÃO 1 ANO,,,17/06/26,1045333,CRISTIANO,NÃO,SIM,,NÃO TEM,CORTESIA,TAPETES VINIL E CHENIL,,,"02/12 - RETIROU O BAU, SEM IMPLEMENTO",
VR008195,30.320,BRANCO GEADA,02/04/26,T & T COMERCIO E REPRESENTACAO LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,31/03/2026,722217,LUIZ CARLOS,PAGO,,,NÃO TEM,,TANQUE AUXILIAR,,,FACCHINI SÃO JOSE DO RIO PRETO - SP -19/04/26,
VR006763,11.180,BRANCO GEADA,02/04/26,T & T COMERCIO E REPRESENTACAO LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,31/03/2026,722065,LUIZ CARLOS,PAGO,,380220,NÃO TEM,,TANQUE AUXILIAR,,,WINTER LEVOU - 17/04/2026,
VR006677,11.180,BRANCO GEADA,02/04/26,T & T COMERCIO E REPRESENTACAO LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,31/03/2026,722066,LUIZ CARLOS,PAGO,,380219,NÃO TEM,,TANQUE AUXILIAR,,,WINTER LEVOU - 22/04/2026,
VR006741,11.180,BRANCO GEADA,02/04/26,T & T COMERCIO E REPRESENTACAO LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,31/03/2026,722062,LUIZ CARLOS,PAGO,,380223,NÃO TEM,,TANQUE AUXILIAR,,,WINTER LEVOU - 22/04/2026,
VR006902,11.180,BRANCO GEADA,02/04/26,T & T COMERCIO E REPRESENTACAO LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,31/03/2026,722063,LUIZ CARLOS,PAGO,,380351,NÃO TEM,,TANQUE AUXILIAR,,,WINTER LEVOU - 23/04/2026,
VR014483,30.320,BRANCO GEADA,25/05/26,T & T COMERCIO E REPRESENTACAO LTDA,VENDA DIRETA,PATIO 2,,,,22/05/2026,728274,LUIZ CLAUDIO,NÃO,NÃO,383222,NÃO TEM,,,,,,
TR014312,18.320,BRANCO GEADA,03/09/25,TA PONTO DA CARNE LTDA,FATURADO,ANS,REVISÃO 1 ANO,,,30/06/26,1047743,DOUGLAS,NÃO,SIM,,NÃO TEM,"R$ 5.000,00",,,,,
TR009889,26.260,,12/05/25,TAF EQUIPAMENTOS E SERVICOS LTDA,FATURADO,IMPLEMENTADOR,REVISÃO 1 ANO,,,26/02/2026,1026741,CRISTIANO,,,378319,NÃO TEM,,,,,FORZA ABADIA DE GOIAS - 16/03/2026,
VR010038,27.320,,06/04/26,USINA PANORAMA S/A,VENDA DIRETA,IMPLEMENTADOR,,,,02/04/2026,722747,GUSTAVO,,,,NÃO TEM,,,,,VIAGEM - 64017 - SERTAOZINHO SP - 28/04,
VR010955,27.320,,07/04/26,USINA PANORAMA S/A,VENDA DIRETA,IMPLEMENTADOR,,,,06/04/2026,722747,GUSTAVO,,,,NÃO TEM,,,,,VIAGEM - 64017 - SERTAOZINHO SP - 28/04,
VR010846,27.320,,15/04/26,USINA PANORAMA S/A,VENDA DIRETA,IMPLEMENTADOR,,,,14/04/2026,723496,GUSTAVO,,,,NÃO TEM,,,,,VIAGEM - 64017 - SERTAOZINHO SP - 28/04,
VR014122,27.320,,07/05/26,USINA PANORAMA S/A,VENDA DIRETA,ITUMBIARA,,,,29/04/2026,725749,GUSTAVO,,,,NÃO TEM,,,,,,
VR014063,27.320,,07/05/26,USINA PANORAMA S/A,VENDA DIRETA,ITUMBIARA,,,,29/04/2026,725750,GUSTAVO,,,,NÃO TEM,,,,,,
VR011444,17.230,SEM COR,28/04/26,VIAGOV LTDA,FATURADO,PATIO 2,AGENDADO,,,25/05/2026,1041159,DANIELITON,PAGO,NÃO,383612,NÃO TEM,,COMIL 12/05/2026 - PRANCHA GABARDO,,,,
TR010511,18.320,BRANCO GEADA,05/06/25,VIVEIRO RENASCER LTDA,FATURADO,ANS,REVISÃO 1 ANO,,,22/06/2026,1046093,JORGE,,,,NÃO TEM,,,,,,
TR023127,18.320,BRANCO,31/10/25,VIVEIRO RENASCER LTDA,FATURADO,PATIO 1,,,,22/06/2026,1046194,JORGE,NÃO,NÃO,383613,NÃO TEM,,,,,NF. 707214 - VIAGEM - 62761 - GO - 11/11,
VR002590,30.320,PRATA TUNGSTEN,16/02/26,YPE COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,FATURADO,ANS,,,,26/06/2026,1047057,JORGE,NÃO,,,NÃO TEM,,,,,NF. 716128,