,,,PROGRAMAÇÃO ,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,OS,IMPLEMENTO,,STATUS,CLIENTE,LOCAL,ACES.,PAGO,CAMPANHA,LOCAL,VENDA DT,NF,VENDEDOR,DT ENT.,HR ENT.,,VALOR,OS.,ACESSÓRIOS
SR031467,9.180,363108,NENHUM,FALSE,,A G B LOGISTICA LTDA,JRV,N,,NÃO TEM,JRV,30/01/2025,,GUSTAVO,,,,,,
TR030426,9.180,,,FALSE,,A R SOUSA LTDA ,ANS,S,PAGO,NÃO TEM,,18/05/2026,1039978,CRISTIANO,,,,CORTESIA,,"VINIL, CHINIL E CALHA DE CHUVA - NÃO COLOCAR MOEDA"
TR016634,11.180OD,,NENHUM,FALSE,,AGM CAETANO LTDA,GABARDO RJ,N,,NÃO TEM,,27/10/2025,1006930,DANIELITON,,,,,,
TR026701,17.230 OD,,NENHUM,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,SERVICARGA - SÃO BERNARDO DO CAMPO,04/12/2025,1013654,DANIELITON,,,,,,
TR026746,17.230 OD,,NENHUM,FALSE,,AGM CAETANO LTDA,FABRICA,N,,NÃO TEM,,08/01/2026,1023869,DANIELITON,,,,,,
VR001925,17.230 OD,,NENHUM,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,,12/02/2026,716453,DANIELITON,,,,,,
VR008167,17.230 OD,,,FALSE,,AGM CAETANO LTDA,FABRICA,N,,NÃO TEM,,30/03/2026,721526,DANIELITON,,,,,,
VR008177,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,63999 - MARCOPOLO PR -29/04,30/03/2026,721523,DANIELITON,,,,,,
VR008097,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,22/04/26 - COMIL ,30/03/2026,721524,DANIELITON,,,,,,
VR007205,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,63940 - ERECHIM RS - 22/04,30/03/2026,721525,DANIELITON,,,,,,
VR006576,17.230 OD,,,FALSE,,AGM CAETANO LTDA,FABRICA,N,,NÃO TEM,,31/03/2026,722455,DANIELITON,,,,,,
VR006578,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,64000 - COMIL - 30/04 - 23/04/206,31/03/2026,722456,DANIELITON,,,,,,
VR007004,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,64000 - COMIL - 30/04 - 23/04/206,31/03/2026,722457,DANIELITON,,,,,,
VR008698,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,64004 - COMIL - 30/04 - 23/04/206,31/03/2026,722453,DANIELITON,,,,,,
VR008710,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,64004 - COMIL - 30/04 - 23/04/206,31/03/2026,722454,DANIELITON,,,,,,
VR003702,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,,,NÃO TEM,SERVICARGA - 09/03,17/04/2026,1035177,DANIELITON,,,,,,
VR003601,27.320,381598,CAÇAMBA - FACCHINI,TRUE,AGENDADO,AGROPECUARIA FAZENDA VEREDAS LTDA,PATIO 1,P,PAGO,NÃO TEM,,12/05/2026,1039076,PAULO,20/05/26,13:30,,,,
TR005515,9.180,,BAU - FACCHINI,FALSE,,AJEL MATERIAIS ELETRICOS LTDA - Ñ PG,PATIO 1,A,NÃO,NÃO TEM,,28/05/2026,1041998,JORGE,,,,"R$ 5.000,00",,"VINIL, MOEDA, CHINIL, MANGUEIRA DE SOPRAR, CALHA E INSUFILME"
TR021510,27.260,,NENHUM,FALSE,,AMAZONAS LOCACOES DE EQUIPAMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - LIEBHERR - GUARATINGUETÁ/SP - 20/08,08/08/2025,697878,ENEIAS,,,,,,
TR021894,27.260,,NENHUM,FALSE,,AMAZONAS LOCACOES DE EQUIPAMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - LIEBHERR - GUARATINGUETÁ/SP - 20/08,08/08/2025,697877,ENEIAS,,,,,,
TR021164,27.260,,NENHUM,FALSE,,AMAZONAS LOCACOES DE EQUIPAMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - LIEBHERR - GUARATINGUETÁ/SP - 20/08,12/08/2025,698059,ENEIAS,,,,,,
TR021599,27.260,,NENHUM,FALSE,,AMAZONAS LOCACOES DE EQUIPAMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - LIEBHERR - GUARATINGUETÁ/SP - 20/08,12/08/2025,698058,ENEIAS,,,,,,
VR003214,26.320,,NENHUM,FALSE,AGENDAR,ARMAZEM DOS MEDICAMENTOS LTDA,PATIO 1,N,PAGO,NÃO TEM,,18/05/2026,1040127,ENEIAS,,,,,,
TR032221,9.180,382325,NENHUM,FALSE,,AVS TRANSPORTES CARGAS ENCOMENDAS E VENDAS DE PASSAGENS LTDA,JRV,S,PAGO,NÃO TEM,JRV - COLOCAR BAU RETIRADO VR009894 - 29/05,21/05/2026,1040748,JOSUE,,,,"R$ 5.000,00",,"INSUFILME, TAPETES, MANGUEIRA DE SOPRAR - TRAVAR R$ 850,00 P/ EMPLACAMENTO"
VR014161,EXPRESS,382194,NENHUM,FALSE,,BUENO EVENTOS LOCACOES E SERVICOS LTDA,IMPLEMENTADOR,N,PAGO,NÃO TEM,R. A. IMPLEMENTOS - 01/06/26,18/05/2026,1040112,CRISTIANO,NF. CARLOS WHATSAPP,,,,,
VR007355,27.320,DESTINO,,FALSE,,CACU COM E IND DE ACUCAR E ALCOOL L,FABRICA,N,,NÃO TEM,VAI P/ LUBSERT SERTAOZINHO - SP,19/03/2026,720297,MARIANA,,,,,,
VR007776,27.320,DESTINO,,FALSE,,CACU COM E IND DE ACUCAR E ALCOOL L,FABRICA,N,,NÃO TEM,VAI P/ LUBSERT SERTAOZINHO - SP,19/03/2026,720298,MARIANA,,,,,,
VR007412,27.320,DESTINO,,FALSE,,CACU COM E IND DE ACUCAR E ALCOOL L,FABRICA,N,,NÃO TEM,VAI P/ ITUMBIARA,19/03/2026,720299,MARIANA,,,,,,
VR007337,27.320,BRANCO,,FALSE,,CACU COM E IND DE ACUCAR E ALCOOL L,IMPLEMENTADOR,N,,NÃO TEM,63803 - GO - 05/04/2026,19/03/2026,720296,MARIANA,,,,,,
VR009178,17.210,,,FALSE,,CACU COM E IND DE ACUCAR E ALCOOL L,IMPLEMENTADOR,N,,NÃO TEM,LUBESER EQUIP - 25/03,20/03/2026,720498,MARIANA,,,,,,
VR009379,17.210,,,FALSE,,CACU COM E IND DE ACUCAR E ALCOOL L,FABRICA,N,,NÃO TEM,,23/03/2026,720600,,,,,,,
SR032428,11.180,355555,NENHUM,FALSE,,CEL ENGENHARIA LTDA - GEOMETRIA  PASSAR P/ SALMER FAZER - SEMI NOVOS YURI,IMPLEMENTADOR,N,,NÃO TEM,GOIANIRA,21/10/2024,,RUI,,,,,,
SR032244,11.180,355556,NENHUM,FALSE,,CEL ENGENHARIA LTDA - GEOMETRIA  PASSAR P/ SALMER FAZER - SEMI NOVOS YURI,IMPLEMENTADOR,N,,NÃO TEM,GOIANIRA,21/10/2024,,RUI,,,,,,
SR033491,11.180,355557,NENHUM,FALSE,,CEL ENGENHARIA LTDA - GEOMETRIA  PASSAR P/ SALMER FAZER - SEMI NOVOS YURI,IMPLEMENTADOR,N,,NÃO TEM,GOIANIRA,21/10/2024,,RUI,,,,,,
SR033713,11.180,355561,NENHUM,FALSE,,CEL ENGENHARIA LTDA - GEOMETRIA  PASSAR P/ SALMER FAZER - SEMI NOVOS YURI,IMPLEMENTADOR,N,,NÃO TEM,GOIANIRA,21/10/2024,,RUI,,,,,,
SR033695,11.180,355564,NENHUM,FALSE,,CEL ENGENHARIA LTDA - GEOMETRIA  PASSAR P/ SALMER FAZER - SEMI NOVOS YURI,IMPLEMENTADOR,N,,NÃO TEM,GOIANIRA,21/10/2024,,RUI,,,,,,
SR033970,11.180,355790,NENHUM,FALSE,,CEL ENGENHARIA LTDA - GEOMETRIA  PASSAR P/ SALMER FAZER - SEMI NOVOS YURI,IMPLEMENTADOR,N,,NÃO TEM,GOIANIRA,28/10/2024,,RUI,,,,,,
SR031479,9.180,363158,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV,03/02/2025,,GUSTAVO,,,,,,
SR031398,9.180,362899,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV,04/02/2025,,GUSTAVO,,,,,,
SR035439,31.320,363625,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV,24/04/2025,973968,GUSTAVO,,,,,,
TR013954,9.180,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,,29/05/2025,690509,GUSTAVO,,,,,,
TR012983,9.180,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,,29/05/2025,690508,GUSTAVO,,,,,,
SR012960,9.180,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,,29/05/2025,690507,GUSTAVO,,,,,,
SR036353,9.180,368721,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV - 08/08/2025,25/06/2025,984916,GUSTAVO,,,,,,
TR004573,14.210,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV - PRANCHA GABARDO,27/06/2025,693624,GUSTAVO,,,,,,
TR015969,17.210,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV - PRANCHA GABARDO,27/06/2025,692893,GUSTAVO,,,,,,
TR028548,,375105,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV - VIAGEM - 62722 - GO - 04/11,27/10/2025,705883,GUSTAVO,,,,,,
TR029747,26.260,374049,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,,27/10/2025,705853,GUSTAVO,,,,,,
TR031921,17.210,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,PRANCHA GABARDO,11/11/2025,707814,GUSTAVO,,,,,,
TR031878,17.210,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV ,17/11/2025,708102,GUSTAVO,,,,,,
TR032313,17.210,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,PRANCHA GABARDO,27/11/2025,709652,GUSTAVO,,,,,,
TR032235,17.210,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,PRANCHA GABARDO,27/11/2025,709649,GUSTAVO,,,,,,
TR032306,17.210,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,,27/11/2025,709650,GUSTAVO,,,,,,
VR007353,26.320,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,VIAGEM 63678 GO 17/03/26,09/03/2026,719249,GUSTAVO,,,,,,
VR007687,26.320,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,PRANCHA 13/03/2026,10/03/2026,719347,GUSTAVO,,,,,,
VR007188,26.320,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,63831 - GP - 04/04 - JRV,12/03/2026,719582,GUSTAVO,,,,,,
VR008163,26.320,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,63848 - GO - 05/04,16/03/2026,719837,GUSTAVO,,,,,,
VR007834,26.320,381021,NENHUM,FALSE,AGENDAR,CENTRO OESTE IMPLEMENTOS LTDA,PATIO 1,N,PAGO,NÃO TEM,,16/03/2026,719836,GUSTAVO,,,,,,
VR009147,17.210,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,63848 - GO - 05/04,20/03/2026,720433,GUSTAVO,,,,,,
VR009821,EXPRESS,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63906 - GO - 14/04,31/03/2026,722477,GUSTAVO,,,,,,
VR009934,EXPRESS,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63908 - GO - 14/04,31/03/2026,722478,GUSTAVO,,,,,,
VR008486,26.320,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63886 - ANS - 11/04/26,31/03/2026,722078,GUSTAVO,,,,,,
VR007960,14.180,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,PRANCHA - 13/04/2026,31/03/2026,722128,GUSTAVO,,,,,,
VR009645,17.210,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,PRANCHA - 10/04/2026,31/03/2026,722076,GUSTAVO,,,,,,
VR009538,17.210,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,PRANCHA - 10/04/2026,31/03/2026,722077,GUSTAVO,,,,,,
VR009344,17.210,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV,31/03/2026,722075,GUSTAVO,,,,,,
VR009894,9.180,382195,NENHUM,FALSE,AGENDAR,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,PAGO,NÃO TEM,RETIRAR BAU - NO TR032221 AVS - 29/05,31/03/2026,722090,GUSTAVO,,,,,,
VR008299,9.180,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV,31/03/2026,722127,GUSTAVO,,,,,,
VR007322,26.260,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,PATIO 2,N,PAGO,NÃO TEM,29/04/2026 - PRANCHA,13/04/2026,723328,GUSTAVO,,,,,,
VR008975,14.180,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,EM VIAJEM - GABARDO,N,,NÃO TEM,,14/04/2026,723593,GUSTAVO,,,,,,
VR010893,27.320,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,29/04/2026 - PRANCHA,14/04/2026,723577,GUSTAVO,,,,,,
VR009662,14.180,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,29/04/2026 - PRANCHA,14/04/2026,723592,GUSTAVO,,,,,,
VR010873,27.320,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,29/04/2026 - PRANCHA,14/04/2026,723576,GUSTAVO,,,,,,
VR010166,26.260,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,29/04/2026 - PRANCHA,15/04/2026,723711,GUSTAVO,,,,,,
TR201371,28.480,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,JRV,22/04/2026,1035615,GUSTAVO,,,,,,
VR012617,18.260,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,64138 - 09/05/206,22/04/2026,724473,GUSTAVO,,,,,,
SR017606,11.180,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,JRV,24/04/2026,1036106,GUSTAVO,,,,,,
VR012559,26.260,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,64098 - 06/05/2026,24/04/2026,724776,GUSTAVO,,,,,,
VR013355,26.320,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,,27/04/2026,725034,GUSTAVO,,,,,,
VR013181,14.180,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV - 07/05/2026,29/04/2026,725343,GUSTAVO,,,,,,
VR014875,26.260,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,PRANCHA 14/05/26,07/05/2026,726659,GUSTAVO,,,,,,
VR014696,26.320,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,PRANCHA 15/05/26,11/05/2026,726845,GUSTAVO,,,,,,
VR014589,14.180,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,,PAGO,NÃO TEM,PRANCHA - 25/05,20/05/2026,727819,GUSTAVO,,,,,,
VR015786,31.320,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,,PAGO,NÃO TEM,PRANCHA - 25/05,20/05/2026,727933,GUSTAVO,,,,,,
VR016433,31.320,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,,PAGO,NÃO TEM,PRANCHA - 25/05,20/05/2026,727932,GUSTAVO,,,,,,
VR015645,17.210,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,DESTINO ,N,PAGO,NÃO TEM,,25/05/2026,728506,GUSTAVO,,,,,,
VR013293,9.180,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,PAGO,NÃO TEM,PRANCHA - 30/05,25/05/2026,728624,GUSTAVO,,,,,,
VR015619,17.210,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,PAGO,NÃO TEM,PRANCHA - 30/05,25/05/2026,728504,GUSTAVO,,,,,,
VR015540,17.210,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,PAGO,NÃO TEM,PRANCHA - 30/05,25/05/2026,728507,GUSTAVO,,,,,,
VR015645,17.210,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,PAGO,NÃO TEM,PRANCHA - 30/05,25/05/2026,728506,GUSTAVO,,,,,,
VR015661,17.210,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,PAGO,NÃO TEM,PRANCHA - 30/05,25/05/2026,728505,GUSTAVO,,,,,,
VR012908,14.210,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,PAGO,NÃO TEM,NF. 726207 - VIAGEM - 64185 - 30/05/2026,29/05/2062,1042287,GUSTAVO,,,,,,
VR013018,26.260,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,PRANCHA - 11/05,,,GUSTAVO,,,,,,
SR022347,18.260,,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV,,,GUSTAVO,,,,,,
SR039525,26.260,358442,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV,,,GUSTAVO,,,,,,
VR010166,26.260,,,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,,,NÃO TEM,,,,,,,,,,
VR007587,26.320,381022,NENHUM,FALSE,AVARIADO,CENTRO OESTE IMPLEMENTOS LTDA - AVARIADO PRANCHA GABARDO,PATIO 2,N,PAGO,NÃO TEM,,09/03/2026,719248,GUSTAVO,,,,,,
SR005960,14.210,356955,NENHUM,FALSE,,CERTO BRASIL DISTRIBUIDORA LTDA,JRV,N,,NÃO TEM,JRV,14/06/2024,,GUSTAVO,,,,,,
SR023571,31.320,358833,NENHUM,FALSE,,CERTO BRASIL DISTRIBUIDORA LTDA,JRV,N,,NÃO TEM,JRV,20/12/2024,,GUSTAVO,,,,,,
TR006299,11.180,,NENHUM,FALSE,,CERTO BRASIL DISTRIBUIDORA LTDA,JRV,N,,NÃO TEM,DESTINO - JRV - 17/04,14/04/2025,684850,GUSTAVO,,,,,,
TR005545,26.320,364360,NENHUM,FALSE,,CERTO BRASIL DISTRIBUIDORA LTDA,JRV,N,,NÃO TEM,JRV,14/04/2025,684841,GUSTAVO,,,,,,
SR019032,9.180,351792,NENHUM,FALSE,,CERTO BRASIL DISTRIBUIDORA LTDA,JRV,N,,NÃO TEM,JRV,,,GUSTAVO,,,,,,
SR042206,11.180,,NENHUM,FALSE,,CERTO BRASIL DISTRIBUIDORA LTDA - 6 MESES FAZER REVISÃO,JRV,N,,NÃO TEM,JRV,21/03/2025,,GUSTAVO,,,,,,
VR011861,14.210,,NENHUM,FALSE,ACESSÓRIOS,CODEVASF,PATIO 2,A,PAGO,NÃO TEM,PRANCHA 24/05,21/05/2026,1040773,WALERIA,,,,,,
VR009386,14.210,,NENHUM,FALSE,ACESSÓRIOS,CODEVASF,PATIO 2,A,PAGO,NÃO TEM,,21/05/2026,1040772,WALERIA,,,,,,
VR009515,14.210,,NENHUM,FALSE,ACESSÓRIOS,CODEVASF,PATIO 2,A,PAGO,NÃO TEM,,21/05/2026,1040771,WALERIA,,,,,,
VR013116,17.210,,NENHUM,FALSE,,CODEVASF,JRV,N,PAGO,NÃO TEM,,26/05/2026,1041465,WALERIA,,,,,,
VR011840,17.210,,NENHUM,FALSE,,CODEVASF,JRV,N,PAGO,NÃO TEM,,26/05/2026,1041464,WALERIA,,,,,,
VR011974,17.210,,NENHUM,FALSE,,CODEVASF,JRV,N,PAGO,NÃO TEM,,26/05/2026,1041462,WALERIA,,,,,,
VR012019,17.210,,NENHUM,FALSE,,CODEVASF,JRV,N,PAGO,NÃO TEM,,26/05/2026,1041461,WALERIA,,,,,,
VR012624,17.210,,NENHUM,FALSE,,CODEVASF,JRV,N,PAGO,NÃO TEM,,26/05/2026,1041460,WALERIA,,,,,,
TR024329,26.320,,NENHUM,FALSE,,CONSORCIO CUIDANDO DE GOIANIA,IMPLEMENTADOR,N,,NÃO TEM,SOLIVAC - 04/02/26 - PRANCHA GABARDO,29/01/2026,1021819,PAULO,,,,,,
TR028280,26.320,,NENHUM,FALSE,,CONSORCIO CUIDANDO DE GOIANIA,IMPLEMENTADOR,N,,NÃO TEM,SOLIVAC - 04/02/26 - PRANCHA GABARDO,29/01/2026,1021814,PAULO,,,,,,
