,,,PROGRAMAÇÃO ,,,,,,,,,,,,,,,,,
TR023650,26.320,376512,VAI COLOCAR,FALSE,,CONSORCIO CUIDANDO DE GOIANIA,IMPLEMENTADOR,N,,NÃO TEM,SOLIVAC - 04/02/26 - PRANCHA GABARDO,29/01/2026,1021809,PAULO,,,,,,
TR002546,26.320,365078,,FALSE,,CONSORCIO CUIDANDO DE GOIANIA,IMPLEMENTADOR,N,,NÃO TEM,SOLIVAC - 04/02/26 - PRANCHA GABARDO,29/01/2026,1021813,PAULO,,,,,,
TR014186,26.260,365626,NENHUM,FALSE,SEMI NOVOS,CONSORCIO GNS DRENAGEM,PATIO 1,N,PAGO,NÃO TEM,,20/05/2026,1040310,,,,,,,
TR033344,26.260,,,FALSE,USADO,CONSORCIO GNS DRENAGEM - Ñ PG,ANS,N,NÃO,NÃO TEM,,20/05/2026,1040342,GUSTAVO,,,,,,
SR019635,26.260,353167,NENHUM,FALSE,,CONSORCIO GOLDMAN,JRV,N,PAGO,TEM,Circular AT 054-25 - Ação de Oficina – Substituição do dreno do filtro de ar - 1 Item(s),26/09/2024,,,,,,,,
VR009703,17.210,,,FALSE,SEMI NOVOS,CONSORCIO MINEIRO,JRV,N,PAGO,NÃO TEM,JRV,31/03/2026,1040465,GUSTAVO,,,,,,
TR009276,27.260,367149,NENHUM,FALSE,,CONSTRUTORA CASTANHEIRA LTDA,JRV,N,,NÃO TEM,RIO GRANDE DO SUL - FLORES DA CUNHA,28/07/2025,990862,CRISTIANO,,,,,,
TR001195,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677884,RUI,,,,,,
TR001775,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677888,RUI,,,,,,
TR001390,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677891,RUI,,,,,,
TR001024,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677887,RUI,,,,,,
TR001235,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677886,RUI,,,,,,
TR000988,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677885,RUI,,,,,,
TR001386,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677890,RUI,,,,,,
TR001612,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677890,RUI,,,,,,
VR001808,30.320,382198,NENHUM,FALSE,AGENDAR,COOPERATIVA AGROPEC MISTA DE PIRACANJUBA - COAPIL,PATIO 1,A,PAGO,NÃO TEM,,21/05/2026,1040580,LUIZ CLAUDIO,,,,"R$ 3.000,00",382240,"TAPETES, CHINIL, SOPRADOR E INSULFILME"
SR035597,17.260,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,SERVICARGA - HAWAI,13/12/2024,,FRANK,,,,,,
SR035722,17.260,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,SERVICARGA - HAWAI,13/12/2024,,FRANK,,,,,,
SR034543,17.260,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,SERVICARGA - HAWAI,13/12/2024,,FRANK,,,,,,
TR006234,17.260 OD,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,FABRICA,N,,NÃO TEM,,30/04/2025,687141,GUSTAVO,,,,,,
TR005666,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 12/05,30/04/2025,687148,GUSTAVO,,,,,,
TR006135,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 12/05,30/04/2025,687140,GUSTAVO,,,,,,
TR006261,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 14/05,30/04/2025,687144,GUSTAVO,,,,,,
TR006277,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 14/05,30/04/2025,687143,GUSTAVO,,,,,,
TR004552,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 14/05,30/04/2025,687142,GUSTAVO,,,,,,
TR005827,17.260 OB,368635,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 15/05,30/04/2025,687135,GUSTAVO,,,,,,
TR005839,17.260 OB,368638,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 15/05,30/04/2025,687133,GUSTAVO,,,,,,
TR005819,17.260 OB,368636,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 15/05,30/04/2025,687132,GUSTAVO,,,,,,
TR006312,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 15/05,30/04/2025,687131,GUSTAVO,,,,,,
TR005688,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 15/05,30/04/2025,687136,GUSTAVO,,,,,,
TR005815,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 15/05,30/04/2025,687134,GUSTAVO,,,,,,
TR007023,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 19/05,30/04/2025,687129,GUSTAVO,,,,,,
TR006303,17.260 OB,368626,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 19/05,30/04/2025,687139,GUSTAVO,,,,,,
TR007027,17.260 OB,368639,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 19/05,30/04/2025,687130,GUSTAVO,,,,,,
TR006923,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 19/05,30/04/2025,687150,GUSTAVO,,,,,,
TR006409,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 19/05,30/04/2025,687149,GUSTAVO,,,,,,
TR005823,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 19/05,30/04/2025,687147,GUSTAVO,,,,,,
TR006308,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 19/05,30/04/2025,687145,GUSTAVO,,,,,,
TR005996,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 19/05,30/04/2025,687137,GUSTAVO,,,,,,
TR005660,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,FROTA 3335 - 23/05 DESTINO SAO BERNARDO DO CAMPO,30/04/2025,687146,GUSTAVO,,,,,,
TR006284,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,FROTA 3335 - 23/05 DESTINO SAO BERNARDO DO CAMPO,30/04/2025,687138,GUSTAVO,,,,,,
TR005816,17.260 OD,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,FABRICA,N,,NÃO TEM,,,,GUSTAVO,,,,,,
TR028140,33.260,,NENHUM,FALSE,,COOPERMIX CONCRETOS LTDA,IMPLEMENTADOR,N,PAGO,NÃO TEM,PRANCHA GABARDO LEVOU - 29/04/2026,31/03/2026,1032250,ENEIAS,,,,,,
TR025026,33.260,,NENHUM,FALSE,,COOPERMIX CONCRETOS LTDA,IMPLEMENTADOR,N,PAGO,NÃO TEM,PRANCHA GABARDO LEVOU - 29/04/2026,31/03/2026,1032247,ENEIAS,,,,,,
TR019683,30.320,,,FALSE,,CRISTAL ALIMENTOS LTDA,JRV,N,PAGO,NÃO TEM,,25/05/2026,1041212,LUIZ CARLOS,,,,,,
VR000084,17.210,,,FALSE,,DUO GELATTO INDUSTRIA DE SORVETES LTDA - Ñ PG,ANS,S,NÃO,NÃO TEM,,29/05/2026,1042170,DOUGLAS,,,,"R$ 3.000,00",,
VR010697,EXPRESS,,NENHUM,FALSE,MOVIMENTAR,E M TRANSFORMADORES E MOTORES ELETRICOS LTDA,PATIO 1,N,NÃO,NÃO TEM,VAI P/JRV,29/05/2026,1042154,LAILA,,,,,,
SR032457,32.380,,NENHUM,FALSE,,ETF AGRO LTDA,IMPLEMENTADOR,N,,NÃO TEM,VAI P/ GASCON - GABARDO VAI LEVAR,25/08/2025,995985,GUSTAVO,,,,,,
TR002489,32.380,,NENHUM,FALSE,,ETF AGRO LTDA,IMPLEMENTADOR,N,,NÃO TEM,VAI P/ GASCON - GABARDO VAI LEVAR,25/08/2025,995984,GUSTAVO,,,,,,
SR031771,32.380,357162,NENHUM,FALSE,,ETF AGRO LTDA - 6 MESES FAZER REVISÃO,IMPLEMENTADOR,N,,NÃO TEM,GASCOM,30/10/2024,,GUSTAVO,,,,,,
VR000497,26.320,,NENHUM,FALSE,MOVIMENTAR,FA INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,PATIO 1,A,PAGO,NÃO TEM,VAI P/JRV,28/05/2026,1041987,DOUGLAS,,,,"R$ 9.000,00",382508,"DEFLETOR, TAPETE VINIL E MOEDA, INSULFILME E SOPRADOR"
VR008863,17.210,,NENHUM,FALSE,,FOKUS LOCADORA DE VEICULOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63876 - ANS - 0904,20/03/2026,720420,CRISTIANO,,,,,,
VR009036,17.210,,NENHUM,FALSE,AVARIADO,FOKUS LOCADORA DE VEICULOS LTDA,PATIO 2,N,PAGO,NÃO TEM,BATEU NA FACCHINI PRANCHA GABARDO,20/03/2026,720466,CRISTIANO,,,,,,
VR005980,14.180,380403,NENHUM,FALSE,,GOLD TRANSPORTES LTDA,IMPLEMENTADOR,N,PAGO,NÃO TEM,AMERICA PEÇAS - 24/04/2026,20/04/2026,1035424,JORGE,,,,,,
TR009228,26.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,IMAP - Rio Grande do Sul - 10/06/25,29/05/2025,980484,PAULO,,,,,,
TR011555,26.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,IMAP - Rio Grande do Sul - 10/06/25,29/05/2025,980489,PAULO,,,,,,
TR018840,26.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,ROBOCONTROL - 28/01/2026 ,11/02/2026,1024134,PAULO,,,,,,
TR025093,26.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,ROBOCONTROL - 28/01/2026 ,11/02/2026,1024139,PAULO,,,,,,
TR028154,18.260,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,GOLDEN VAC - 22/11/2025,03/03/2026,1027680,PAULO,,,,,,
TR027739,30.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,ROBOCONTROL - 28/01/26,04/03/2026,1027766,PAULO,,,,,,
VR004953,30.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,GOLDMAN - 18/03/2026,18/03/2026,1029908,PAULO,,,,,,
TR022322,30.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,GOLDMAN - 17/03/26,18/03/2026,1029912,PAULO,,,,,,
TR031652,26.320,375556,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,ROBOCONTROL - 11/03/2026,18/03/2026,1029917,PAULO,,,,,,
VR001042,26.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,ROBOCONTROL - 11/03/2026,18/03/2026,1029925,PAULO,,,,,,
VR009535,EXPRESS,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,DESTINO ,N,,NÃO TEM,JRV,23/04/2026,1035982,GUSTAVO,,,,,,
VR009923,9.180,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,JRV,23/04/2026,1035983,PAULO,,,,,,
TR200478,28.480,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,JRV,N,PAGO,TEM,Circular AT 049-25 - Ação de Oficina – Verificação dos tubos de alimentação de combustível - 1 Item(s),15/05/2026,1039583,PAULO,,,,"R$ 5.000,00",,
TR025827,30.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,ANS,N,NÃO,NÃO TEM,,29/05/2026,1042256,PAULO,,,,,,
TR019623,26.320,381854,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,GOLDMAN - 14/05/2026,29/05/2026,1042267,PAULO,,,,,,
VR000398,26.260,381599,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,GOLDMAN 15/05/26,29/05/2026,1042271,PAULO,,,,,,
VR003040,26.260,381856,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,,29/05/2026,1042276,PAULO,,,,,,
VR006549,26.260,381216,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,N,,NÃO TEM,GOLDMAN - 08/05/2026,29/05/2026,1042248,PAULO,,,,,,
VR007011,26.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,,,NÃO TEM,SOLIVAC - SP - 08/05/26 prancha,29/05/2026,1042232,PAULO,,,,,,
VR006643,26.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,,,NÃO TEM,SOLIVAC - SP - 08/05/26 prancha,29/05/2026,1042242,PAULO,,,,,,
VR011828,26.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,,,NÃO TEM,SOLIVAC - SP - 18/05/26 prancha,29/05/2026,1042252,PAULO,,,,,,
VR003946,30.320,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,IMPLEMENTADOR,,,NÃO TEM,SOLIVAC - SP - 18/05/26 prancha,29/05/2026,1042231,PAULO,,,,,,
VR012408,26.320,382201,NENHUM,FALSE,MOVIMENTAR,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,PATIO 2,N,PAGO,NÃO TEM,P/ GOLDMAN,29/05/2026,1042239,PAULO,,,,,,382508
VR203571,28.480,,NENHUM,FALSE,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,ITUMBIARA,N,PAGO,NÃO TEM,,29/05/2026,1042236,PAULO,,,,,,
VR005154,17.210,,NENHUM,FALSE,,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,IMPLEMENTADOR,N,,NÃO TEM,PRANCHA - 13/03,24/02/2026,717179,ENEIAS,,,,,,
VR003049,17.210,,NENHUM,FALSE,,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,IMPLEMENTADOR,N,,NÃO TEM,PRANCHA - 12/03,24/02/2026,717186,ENEIAS,,,,,,
VR003468,17.210,,NENHUM,FALSE,,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,IMPLEMENTADOR,N,,NÃO TEM,PRANCHA - 12/03,24/02/2026,717187,ENEIAS,,,,,,
VR005131,17.210,,NENHUM,FALSE,,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,IMPLEMENTADOR,N,,NÃO TEM,PRANCHA - 12/03,24/02/2026,717194,ENEIAS,,,,,,
VR004920,17.210,,NENHUM,FALSE,,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,IMPLEMENTADOR,N,,NÃO TEM,PRANCHA - 12/03,24/02/2026,717195,ENEIAS,,,,,,
VR005266,17.210,,NENHUM,FALSE,,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,IMPLEMENTADOR,N,,NÃO TEM,PRANCHA - 13/03,24/02/2026,717196,ENEIAS,,,,,,
VR005263,17.210,,NENHUM,FALSE,,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,IMPLEMENTADOR,N,,NÃO TEM,PRANCHA - 13/03,24/02/2026,717242,ENEIAS,,,,,,
VR003155,17.210,,NENHUM,FALSE,,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,IMPLEMENTADOR,N,,NÃO TEM,,25/02/2026,717431,ENEIAS,,,,,,
VR008342,26.260,,NENHUM,FALSE,,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,IMPLEMENTADOR,N,,NÃO TEM,FACCHINI S/A - VOTUPORANGA-SP - 63869 15/04,17/03/2026,720042,ENEIAS,,,,,,
VR009197,26.260,,NENHUM,FALSE,,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,IMPLEMENTADOR,N,,NÃO TEM,FACCHINI S/A - VOTUPORANGA-SP - 63870 - 15/04,20/03/2026,720517,ENEIAS,,,,,,
VR009249,26.260,,NENHUM,FALSE,,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,IMPLEMENTADOR,N,,NÃO TEM,FACCHINI S/A - VOTUPORANGA-SP - 63870 - 15/04,23/03/2026,720548,ENEIAS,,,,,,
VR010942,11.180,,,FALSE,REVISAO 6 MESES,J DIVINO DE SOUZA LTDA - N PG,IMPLEMENTADOR,S,NÃO,NÃO TEM,FACCHINI - 29/05/2026,15/05/2026,1039680,LUIZ CLAUDIO,,,,"R$ 3.000,00",,"R$ 1.000,00 PARA EMPLACAMENTO - TAPETE, CHINIL, INSULFILME E SOPRADOR"
TR033583,EXPRESS,374282,NENHUM,FALSE,,JANIO FABIO FLORENTINO LTDA,IMPLEMENTADOR,N,,NÃO TEM,CLIENTE RETIROU ,24/11/2025,1011601,GADMA,,,,,,
VR006609,11.180,,,FALSE,,JB INDUSTRIA E COMERCIO DE CARNES LTDA - Ñ PG,ANS,S,NÃO,NÃO TEM,,26/05/2026,1041326,JORGE,,,,,,
VR203351,29.530,,,FALSE,,JULIANA DE CASSIA S. BARCELOS,ANS,N,NÃO,NÃO TEM,,29/05/2026,1042069,KRISLEY,,,,,,
SR034128,18.260,358437,NENHUM,FALSE,,LARISSA MAGALHAES DOS SANTOS,JRV,N,,NÃO TEM,JRV,27/01/2025,,PAULO,,,,,,
SR038265,18.260,359995,NENHUM,FALSE,,LOCACOES SAO PATRICIO LTDA,JRV,N,,NÃO TEM,JRV,07/02/2025,,GUSTAVO,,,,,,
SR039414,18.260,,NENHUM,FALSE,,LOCACOES SAO PATRICIO LTDA,IMPLEMENTADOR,N,,NÃO TEM,FUTURA,21/02/2025,,GUSTAVO,,,,,,
SR033160,9.180,,NENHUM,FALSE,,LUIZ FERNANDO AMARAL,IMPLEMENTADOR,A,,NÃO TEM,FACCHINI - 14/02 - GABARDO QUE ENVIOU,15/09/2025,999776,PAULO,,,,"R$ 10.000,00",372491,
VR014428,30.320,,NENHUM,FALSE,,LUZTOL INDUSTRIA QUIMICA LTDA,PATIO 2,,NÃO,NÃO TEM,VENDA DIRETA - E-MAIL ESCANEADO DIA 18/05 GABARDO,15/05/2026,727301,,,,,,,
VR013721,18.210,,NENHUM,FALSE,,LUZTOL INDUSTRIA QUIMICA LTDA,PATIO 2,,NÃO,NÃO TEM,PRANCHA - 01/06/2026,15/05/2026,727299,,,,,,,
VR001501,17.210,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,FACCHINI SÃO JOSE DO RIO PRETO,22/01/2026,714575,CRISTIANO,,,,,,
