,,,PROGRAMAÇÃO ,,,,,,,,,,,,,,,,,
VR000756,17.210,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,EMAQ IND - APARECIDA DE GOIANIA GP ,22/01/2026,714549,CRISTIANO,,,,,,
VR002430,17.210,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,IMAP - SANTO ANTONIO DA POSSE 27/02,21/02/2026,716877,CRISTIANO,,,,,,
VR002494,17.210,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,IMAP - SANTO ANTONIO DA POSSE 27/02,21/02/2026,71678,CRISTIANO,,,,,,
VR002787,17.210,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,IMAP - SANTO ANTONIO DA POSSE 27/02,21/02/2026,716875,CRISTIANO,,,,,,
VR002494,17.210,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,IMAP - SANTO ANTONIO DA POSSE ,21/02/2026,716874,CRISTIANO,,,,,,
VR003030,17.210,,NENHUM,FALSE,,MAAS SERVICOS LTDA,CLIENTE,N,,NÃO TEM,25/02/2026,24/02/2026,717173,CRISTIANO,,,,,,
VR003207,17.210,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,MAAS SERVIÇOS,27/02/2026,718155,CRISTIANO,,,,,,
VR003680,17.210,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,MAAS SERVIÇOS,27/02/2026,718159,CRISTIANO,,,,,,
VR003374,17.210,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,MAAS SERVIÇOS,27/02/2026,718158,CRISTIANO,,,,,,
VR008309,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,MAAS SERVIÇOS - 18/03,13/03/2026,719702,CRISTIANO,,,,,,
VR008653,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,MAAS GO - 29/03/2026,17/03/2026,720052,CRISTIANO,,,,,,
VR008339,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,MAAS SERVIÇOS - 19/03,17/03/2026,719992,CRISTIANO,,,,,,
VR008730,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,MAAS GO - 29/03/2026,18/03/2026,720081,CRISTIANO,,,,,,
VR009001,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63808 - SÃO JOSE DO RIO PRETO - 02/04/26,19/03/2026,720375,CRISTIANO,,,,,,
VR009045,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,FACCHINI - VOTUPORANGA - 08/04,20/03/2026,720415,CRISTIANO,,,,,,
VR009153,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,FACCHINI - VOTUPORANGA - 08/04,20/03/2026,720476,CRISTIANO,,,,,,
VR009189,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63867 - VOTUPORANGA - 11/04,20/03/2026,720519,CRISTIANO,,,,,,
VR009327,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,FACCHINI - VOTUPORANGA - 08/04,23/03/2026,720581,CRISTIANO,,,,,,
VR009284,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63842 - SAO JOSE DO RIO PRETO-SP - 07/04,23/03/2026,720573,CRISTIANO,,,,,,
VR009274,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63867 - VOTUPORANGA - 08/04,23/03/2026,720582,CRISTIANO,,,,,,
VR009605,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63802 - SAO JOSE DO RIO PRETO-SP - 02/04,24/03/2026,720834,CRISTIANO,,,,,,
VR009732,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63923 - SAO JOSE DO RIO PRETO-SP - 19/04,25/03/2026,720941,CRISTIANO,,,,,,
VR009837,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63923 - SAO JOSE DO RIO PRETO-SP - 19/04,25/03/2026,720942,CRISTIANO,,,,,,
VR009831,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63842 - SAO JOSE DO RIO PRETO-SP - 07/04,25/03/2026,720943,CRISTIANO,,,,,,
VR009859,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,63870 - VOTUPORANGA - 12/04,25/03/2026,720944,CRISTIANO,,,,,,
VR009855,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,FACCHINI VOTUPORANGA - SP - 07/04/2026,26/03/2026,721178,CRISTIANO,,,,,,
VR010065,26.260,,NENHUM,FALSE,,MAAS SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,FACCHINI VOTUPORANGA - SP - 07/04/2026,26/03/2026,721179,CRISTIANO,,,,,,
TR201468,28.480,,,FALSE,REVISAO 1 ANO,MAPRA TRANSPORTES LTDA - Ñ PG,ANS,N,NÃO,TEM,Circular AT 001-26 - Ação de Oficina – Atualização do software do Box RIO e reativação do despotenciamento - 1 Item(s) / Circular AT 049-25 - Ação de Oficina – Verificação dos tubos de alimentação de combustível - 1 Item(s),29/05/2026,1042339,MARIANA,,,,,,
VR000363,9.180,,,FALSE,,MATTOS EMPREENDIMENTOS LTDA - Ñ PG,ANS,N,NÃO,NÃO TEM,,29/05/2026,1042289,JORGE,,,,,,
SR004248,26.320,346576,NENHUM,FALSE,,MINERAÇÃO TRANSPORTES,IMPLEMENTADOR,N,PAGO,TEM,IGARAPE MG (RODO BEM IMPL),,,MARIANA,Carta DVM AT 024-24 - Ação de Campo – Inspeção no sensor de pressão do DPF e instalação de defletores de calor - 1 Item(s),,,,,
TR200268,28.480,382328,NENHUM,FALSE,REVISAO 6 MESES,MMJV GRAOS LTDA ,PATIO 1,P,PAGO,REALIZADA,Circular AT 049-25 - Ação de Oficina – Verificação dos tubos de alimentação de combustível - 1 Item(s),21/05/2026,1040665,MARIANA,,,,"R$ 5.000,00",382440,"EMPLACAMENTO - CHINIL, VINIL, INSULFILME"
SR033861,11.180,355562,NENHUM,FALSE,USADO,MP TRANSPORTE E LOGISTICA LTDA,IMPLEMENTADOR,N,PAGO,NÃO TEM,GOIANIRA,13/05/2026,1039300,PAULO,,,,,,
TR035769,17.210,,BAU - JRV,FALSE,SEMI NOVOS,MP TRANSPORTE E LOGISTICA LTDA,JRV,N,PAGO,NÃO TEM,,13/05/2026,1039298,PAULO,,,,,,
VR010487,14.210,,,FALSE,,MP TRANSPORTE E LOGISTICA LTDA - Ñ PG,ANS,N,NÃO,NÃO TEM,,29/05/2026,1042270,PAULO,,,,,,
VR004609,14.210,,,FALSE,,MP TRANSPORTE E LOGISTICA LTDA - Ñ PG,ANS,N,NÃO,NÃO TEM,,29/05/2026,1042266,PAULO,,,,,,
TR030251,8.180 OD,,NENHUM,FALSE,,MUNICIPIO DE HIDROLANDIA,FABRICA,N,,NÃO TEM,,24/11/2025,708671,RUI,,,,,,
TR030345,8.180 OD,,NENHUM,FALSE,,MUNICIPIO DE HIDROLANDIA,FABRICA,N,,NÃO TEM,,24/11/2025,708672,RUI,,,,,,
,,,,FALSE,,NUTRIZA - COLOCAR LAMEIRO EM TODOS - JRV,,,,NÃO TEM,,,,,,,,,,
TR019173,9.180,,,FALSE,,NWF TRANSPORTES E LOGISTICA LTDA - Ñ PG,JRV,S,NÃO,NÃO TEM,,29/05/2026,1042227,CARLOS,,,,"R$ 1.500,00",,
TR023736,30.320,379606,NENHUM,FALSE,,PLASTIKA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,JRV,S,PAGO,NÃO TEM,JRV - RETIRAR BAÚ - 09/04/2026,02/04/2026,1032896,DOUGLAS,,,,"R$ 980,00",,"TAPETE DE BORRACHA, INSULFILME, SOPRADOR, VINIL E DUAS GARRAFAS"
SR020311,11.180,351793,NENHUM,FALSE,,PRECISAO AEROAGRICOLA LTDA - ACESSÓRIOS - 6 MESES FAZER REVISÃO,IMPLEMENTADOR,S,,NÃO TEM,JBS,14/08/2024,,LUIZ CLAUDIO,,,,,,
TR023516,25.480,382202,NENHUM,FALSE,AGENDAR,RE TRANSPORTES LTDA,IMPLEMENTADOR,P,PAGO,NÃO TEM,ROBERTO LEVOU - 26/05/2026,18/05/2026,1039938,LUIZ CLAUDIO,,,,"R$ 3.000,00",382127,"TAPETES, CHINIL, MANGUEIRA DE SOPRAR E CORTINA"
SR022198,18.260,351379,NENHUM,FALSE,,REALMIX CONCRETO LTDA,IMPLEMENTADOR,N,,NÃO TEM,ATIBAIA,09/08/2024,,CRISTIANO,,,,,,
VR005665,31.320,,,FALSE,,REFRESCOS BANDEIRANTES IND. E COM. LTDA,ANS,N,PAGO,TEM,Carta DVM AT 010-26 - Ação de Campo - Substituição do elemento do filtro de ar do motor - Constellation - 1 Item(s),29/05/2026,1042051,CRISTIANO,,,,,,
VR015462,17.210,,NENHUM,FALSE,MOVIMENTAR,REGRA LOGISTICA EM DISTRIBUICAO LTDA,IMPLEMENTADOR,N,PAGO,NÃO TEM,REGRA - 01/06/26,20/05/2026,725012,CRISTIANO,,,,,,
SR037337,11.180,359752,NENHUM,FALSE,,ROBOCONTROL EQUIPAMENTOS E SERVICOS - 6 MESES FAZER REVISÃO,IMPLEMENTADOR,N,,NÃO TEM,IMAP - Rio Grande do Sul - 10/06/25,05/06/2025,981874,PAULO,,,,,,
TR021572,18.260,370115,NENHUM,FALSE,,ROBOCONTROL EQUIPAMENTOS E SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,GOLDEN VAC - 02/09,05/12/2025,1013902,,,,,,,
TR021661,18.260,370114,NENHUM,FALSE,,ROBOCONTROL EQUIPAMENTOS E SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,GOLDEN VAC - 02/09,05/12/2025,1013904,PAULO,,,,,,
TR032380,17.210,,,FALSE,,ROBOCONTROL EQUIPAMENTOS E SERVICOS LTDA,JRV,N,,NÃO TEM,JRV - 12/01/2026,11/03/2026,1029810,PAULO,,,,,,
TR035838,17.210,SEMINOVO,,FALSE,,ROBOCONTROL EQUIPAMENTOS E SERVICOS LTDA,JRV,N,,NÃO TEM,,20/03/2026,1030427,PAULO,,,,,,
SR037577,11.180,360946,NENHUM,FALSE,,ROBOCONTROL EQUIPAMENTOS E SERVICOS LTDA ,CLIENTE,N,,NÃO TEM,CAMINHÃO COM FALHA DE EMISSÕES  FOI 19/09,18/09/2025,1000413,GUSTAVO,,,,,,
TR010933,32.380,364782,NENHUM,FALSE,,SAO SALVADOR ALIMENTOS S.A,JRV,N,,NÃO TEM,JRV ,08/05/2025,976425,EURIPEDES,,,,,,
TR016208,17.210,366677,NENHUM,FALSE,,SOUSA NAVES INDUSTRIA E COMERCIO DE FERRAGENS LTDA,JRV,N,,NÃO TEM,JRV -27/06,24/06/2025,984647,CRISTIANO,,,,,,
TR013193,17.210,366674,NENHUM,FALSE,,SOUSA NAVES INDUSTRIA E COMERCIO DE FERRAGENS LTDA,JRV,N,,NÃO TEM,JRV -27/06,24/06/2025,984645,CRISTIANO,,,,,,
TR004325,26.320,,NENHUM,FALSE,,SOUSA NAVES INDUSTRIA E COMERCIO DE FERRAGENS LTDA,JRV,N,,NÃO TEM,JRV - 30/09,25/09/2025,1001693,CRISTIANO,,,,,,
TR004602,26.320,375109,NENHUM,FALSE,,SOUSA NAVES INDUSTRIA E COMERCIO DE FERRAGENS LTDA,JRV,N,,NÃO TEM,JRV -27/06,25/09/2025,1001692,CRISTIANO,,,,,,
TR023626,18.210,,NENHUM,FALSE,,T & T COMERCIO E REPRESENTACAO LTDA,IMPLEMENTADOR,S,PAGO,NÃO TEM,FACCHINI SÃO JOSÉ DO RIO PRETO - PRANCHA GABARDO,26/09/2025,702848,LUIZ CARLOS,,,,EXTERNO,,TANQUE AUXILIAR
TR027040,11.180,,NENHUM,FALSE,,T & T COMERCIO E REPRESENTACAO LTDA,IMPLEMENTADOR,S,PAGO,NÃO TEM,TeT LEVOU - MOTORISTA GLAUBER,26/09/2025,702846,LUIZ CARLOS,,,,EXTERNO,,TANQUE AUXILIAR
VR008195,30.320,,,FALSE,,T & T COMERCIO E REPRESENTACAO LTDA,IMPLEMENTADOR,S,PAGO,NÃO TEM,FACCHINI SÃO JOSE DO RIO PRETO - SP -19/04/26,31/03/2026,722217,LUIZ CARLOS,,,,EXTERNO,,TANQUE AUXILIAR
VR009695,17.210,,,FALSE,,T & T COMERCIO E REPRESENTACAO LTDA,IMPLEMENTADOR,S,PAGO,NÃO TEM,FACCHINI SÃO JOSE DO RIO PRETO - SP -19/04/26,31/03/2026,722045,LUIZ CARLOS,,,,EXTERNO,,TANQUE AUXILIAR
VR009900,17.210,,,FALSE,,T & T COMERCIO E REPRESENTACAO LTDA,IMPLEMENTADOR,S,PAGO,NÃO TEM,FACCHINI SÃO JOSE DO RIO PRETO - SP -19/04/26,31/03/2026,722046,LUIZ CARLOS,,,,EXTERNO,,TANQUE AUXILIAR
VR009675,17.210,,,FALSE,,T & T COMERCIO E REPRESENTACAO LTDA,IMPLEMENTADOR,S,PAGO,NÃO TEM,FACCHINI SÃO JOSE DO RIO PRETO - SP -19/04/26,31/03/2026,722047,LUIZ CARLOS,,,,EXTERNO,,TANQUE AUXILIAR
VR006763,11.180,380220,NENHUM,FALSE,,T & T COMERCIO E REPRESENTACAO LTDA,IMPLEMENTADOR,P,PAGO,NÃO TEM,WINTER LEVOU - 17/04/2026,31/03/2026,722065,LUIZ CARLOS,,,,EXTERNO,379810,TANQUE AUXILIAR
VR006677,11.180,380219,NENHUM,FALSE,,T & T COMERCIO E REPRESENTACAO LTDA,IMPLEMENTADOR,P,PAGO,NÃO TEM,WINTER LEVOU - 22/04/2026,31/03/2026,722066,LUIZ CARLOS,,,,EXTERNO,379811,TANQUE AUXILIAR
VR006741,11.180,380223,NENHUM,FALSE,,T & T COMERCIO E REPRESENTACAO LTDA,IMPLEMENTADOR,P,PAGO,NÃO TEM,WINTER LEVOU - 22/04/2026,31/03/2026,722062,LUIZ CARLOS,,,,EXTERNO,379813,TANQUE AUXILIAR
VR006902,11.180,380351,NENHUM,FALSE,,T & T COMERCIO E REPRESENTACAO LTDA,IMPLEMENTADOR,P,PAGO,NÃO TEM,WINTER LEVOU - 23/04/2026,31/03/2026,722063,LUIZ CARLOS,,,,EXTERNO,380167,TANQUE AUXILIAR
VR014483,30.320,,,FALSE,,T & T COMERCIO E REPRESENTACAO LTDA,GABARDO RJ,N,PAGO,NÃO TEM,,22/05/2026,728274,LUIZ CLAUDIO,,,,,,
TR009889,26.260,378319,NENHUM,FALSE,,TAF EQUIPAMENTOS E SERVICOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,FORZA ABADIA DE GOIAS - 16/03/2026,26/02/2026,1026741,CRISTIANO,,,,,,
VR008371,30.320,,,FALSE,,TAM LOGISTICA E TRANSPORTES LTDA,ANS,S,PAGO,NÃO TEM,,29/05/2026,1042163,LUIZ CLAUDIO,,,,"R$ 3.000,00",,
TR022688,31.320,,NENHUM,FALSE,,TECPAV ENGENHARIA LTDA,IMPLEMENTADOR,S,,NÃO TEM,ROMANELLI EQUIP. - PRANCHA GABARDO,07/10/2025,703876,RUI,,,,EXTERNO,,"VINIL, CHINIL, INSUFILME E MANGUEIRA DE SOPRAR -R$ 1.890,00"
VR004257,25.480,,,FALSE,,TECPAV ENGENHARIA LTDA,ANS,N,PAGO,NÃO TEM,,27/04/2026,1036490,RUI,,,,,,
TR030451,25.480,,,FALSE,,TECPAV ENGENHARIA LTDA,ANS,N,PAGO,TEM,Circular AT 049-25 - Ação de Oficina – Verificação dos tubos de alimentação de combustível - 1 Item(s),27/04/2026,1036488,RUI,,,,,,
SR019935,13.180,353917,NENHUM,FALSE,,TELES CONSTRUTORA COMERCIO E SERVICOS LTD,JRV,N,,NÃO TEM,JRV,27/09/2024,,DOUGLAS,,,,,,
TR201565,28.480,,NENHUM,FALSE,SEMI NOVOS,TRANSPORTADORA CENTRO OESTE EXPRESS LTDA -Ñ PG,PATIO 1,N,NÃO,TEM,Circular AT 001-26 - Ação de Oficina – Atualização do software do Box RIO e reativação do despotenciamento - 1 Item(s) / Circular AT 049-25 - Ação de Oficina – Verificação dos tubos de alimentação de combustível - 1 Item(s),27/05/2026,1041662,GUILHERME,,,,,,
TR010335,17.210,366423,NENHUM,FALSE,,TRANSPORTADORA J.D.F. LTDA,JRV,N,,NÃO TEM,JRV,23/05/2025,690546,CRISTIANO,,,,,,
TR014450,11.180,367046,NENHUM,FALSE,,TRANSPORTADORA J.D.F. LTDA,FABRICA,N,,NÃO TEM,,28/05/2025,689964,CRISTIANO,,,,,,
TR014427,11.180,,NENHUM,FALSE,,TRANSPORTADORA J.D.F. LTDA ,FABRICA,N,,NÃO TEM,,28/05/2025,689965,CRISTIANO,,,,,,
SR031409,9.180,366269,NENHUM,FALSE,,TRIP LOCACOES E EVENTOS LTDA ,JRV,N,,NÃO TEM,JRV - 28/07,20/06/2025,984360,GUSTAVO,,,,,,
VR010038,27.320,,NENHUM,FALSE,,USINA PANORAMA S/A,IMPLEMENTADOR,N,,NÃO TEM,VIAGEM - 64017 - SERTAOZINHO SP - 28/04,02/04/2026,722747,GUSTAVO,,,,,,
VR010955,27.320,,NENHUM,FALSE,,USINA PANORAMA S/A,IMPLEMENTADOR,N,,NÃO TEM,VIAGEM - 64017 - SERTAOZINHO SP - 28/04,06/04/2026,722747,GUSTAVO,,,,,,
VR010846,27.320,,NENHUM,FALSE,,USINA PANORAMA S/A,IMPLEMENTADOR,N,,NÃO TEM,VIAGEM - 64017 - SERTAOZINHO SP - 28/04,14/04/2026,723496,GUSTAVO,,,,,,
VR014122,27.320,,NENHUM,FALSE,ENTREGA ITUMBIARA,USINA PANORAMA S/A,ITUMBIARA,N,,NÃO TEM,,29/04/2026,725749,GUSTAVO,13/05/26,13:30,,,,
VR014063,27.320,,NENHUM,FALSE,ENTREGA ITUMBIARA,USINA PANORAMA S/A,ITUMBIARA,N,,NÃO TEM,,29/04/2026,725750,GUSTAVO,13/05/26,13:30,,,,
TR015770,11.180 OD,,NENHUM,FALSE,,VIACAO RAISSA LTDA,GABARDO RJ,N,,NÃO TEM,PÁTIO GABARDO - SÃO BERNARDO DO CAMPO/SP - 07/07/25,18/06/2025,692422,FRANK,,,,,,
TR015224,11.180 OD,,NENHUM,FALSE,,VIACAO RAISSA LTDA,GABARDO RJ,N,,NÃO TEM,PÁTIO GABARDO - SÃO BERNARDO DO CAMPO/SP - 11/07/25,18/06/2025,692421,FRANK,,,,,,
TR015952,11.180 OD,,NENHUM,FALSE,,VIACAO RAISSA LTDA,GABARDO RJ,N,,NÃO TEM,PÁTIO GABARDO - SÃO BERNARDO DO CAMPO/SP - 12/07/25,18/06/2025,692420,FRANK,,,,,,
TR015794,11.180 OD,,NENHUM,FALSE,,VIACAO RAISSA LTDA,GABARDO RJ,N,,NÃO TEM,PÁTIO GABARDO - SÃO BERNARDO DO CAMPO/SP - 12/07/25,18/06/2025,692415,FRANK,,,,,,
TR015230,11.180 OD,,NENHUM,FALSE,,VIACAO RAISSA LTDA,GABARDO RJ,N,,NÃO TEM,PÁTIO GABARDO - SÃO BERNARDO DO CAMPO/SP - 14/07/25,18/06/2025,692417,FRANK,,,,,,
TR015778,11.180 OD,,NENHUM,FALSE,,VIACAO RAISSA LTDA,GABARDO RJ,N,,NÃO TEM,PÁTIO GABARDO - SÃO BERNARDO DO CAMPO/SP - 14/07/25,18/06/2025,692416,FRANK,,,,,,
TR015985,11.180 OD,,NENHUM,FALSE,,VIACAO RAISSA LTDA,GABARDO RJ,N,,NÃO TEM,PÁTIO GABARDO - SÃO BERNARDO DO CAMPO/SP - 24/06/25,18/06/2025,692424,FRANK,,,,,,
TR015431,11.180 OD,,NENHUM,FALSE,,VIACAO RAISSA LTDA,GABARDO RJ,N,,NÃO TEM,PÁTIO GABARDO - SÃO BERNARDO DO CAMPO/SP - 24/06/25,18/06/2025,692423,FRANK,,,,,,
TR015218,11.180 OD,,NENHUM,FALSE,,VIACAO RAISSA LTDA,GABARDO RJ,N,,NÃO TEM,PÁTIO GABARDO - SÃO BERNARDO DO CAMPO/SP - 24/06/25,18/06/2025,692419,FRANK,,,,,,
TR015221,11.180 OD,,NENHUM,FALSE,,VIACAO RAISSA LTDA,GABARDO RJ,N,,NÃO TEM,PÁTIO GABARDO - SÃO BERNARDO DO CAMPO/SP - 24/06/25,18/06/2025,692418,FRANK,,,,,,
VR011444,17.230,,,FALSE,,VIAGOV LTDA,IMPLEMENTADOR,N,PAGO,NÃO TEM,,25/05/2026,1041159,DANIELITON,,,,,,
VR007826,26.260,,,FALSE,,ZEMA INDUSTRIAL LTDA - Ñ PG,ANS,S,NÃO,TEM,Carta DVM AT 010-26 - Ação de Campo - Substituição do elemento do filtro de ar do motor - Constellation - 1 Item(s),29/05/2026,1042279,DOUGLAS,,,,"R$ 980,00",,
,,,,FALSE,,,,,,,,,,,,,,,,
,,,,FALSE,,,,,,,,,,,,,,,,
,,,,FALSE,,,,,,,,,,,,,,,,
,,,,FALSE,,,,,,,,,,,,,,,,
,,,,FALSE,,,,,,,,,,,,,,,,
,,,,FALSE,,,,,,,,,,,,,,,,
,,,,FALSE,,,,,,,,,,,,,,,,